Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Situação
770,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,37.174.034/0001-02,Privada sem fins lucrativos,21892,CENTRO DE ENSINO SUPERIOR DE PALMAS (CESUP),CESUP,Quadra 1102 Sul Avenida Joaquim Teotônio Segurado - s/n - CEP: 77024-002 - Plano Diretor Sul,Palmas,TO,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2017,-,,-,,Ativa
3484,ASSOCIACAO EDUCACIONAL DR. ODILON FERNANDES,19.062.231/0001-58,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,4166,CENTRO DE ENSINO SUPERIOR DE UBERABA (CESUBE),CESUBE,Avenida Doutor Randolfo Borges Júnior - 1250 - CEP: 38064-200 - Univerdecidade,Uberaba,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2017,-,,3,2017,Ativa
794,UNIAO CAPIXABA DE ENSINO SUPERIOR LTDA - UCES,36.347.508/0001-08,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1159,CENTRO DE ENSINO SUPERIOR DE VITÓRIA (CESV),CESV,Rua Doutor Eurico de Aguiar - 1003 - CEP: 29056-205 - Santa Lúcia,Vitória,ES,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,3,2017,Ativa
600,ASSOCIACAO AMAPAENSE DE ENSINO E CULTURA,04.661.922/0001-09,Privada com fins lucrativos,861,CENTRO DE ENSINO SUPERIOR DO AMAPÁ (CEAP),CEAP,Rodovia de Duca Serra - s/n - CEP: 68906-698 - Alvorada,Macapá,AP,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,-,,3,2017,Ativa
770,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,37.174.034/0001-02,Privada sem fins lucrativos,22131,CENTRO DE ENSINO SUPERIOR DO TOCANTINS,-,Quadra 1102 Sul Avenida Joaquim Teotônio Segurado - s/n - CEP: 77024-002 - Plano Diretor Sul,Palmas,TO,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2018,-,,-,,Ativa
505,ASSOCIACAO PIAUIENSE DE EDUCACAO E CULTURA LTDA - APEC,05.804.208/0001-87,Privada com fins lucrativos,749,CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA (CESVALE),CESVALE,Avenida Ininga - 1201 - CEP: 64048-971 - Jockey Club,Teresina,PI,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2011,-,,2,2017,Ativa
446,AUTARQUIA BELEMITA DE CULTURA DESPORTOS E EDUCACAO,10.264.877/0001-43,Pessoa Jurídica de Direito Público - Municipal,674,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO (CESVASF),CESVASF,BR 316 - Campus Alto do Encanto - s/n - CEP: 56440-000 - Nova Olinda,Belém de São Francisco,PE,Faculdade,Presencial - Superior,Publica,Especial,-,,-,,3,2017,Ativa
16446,SOCIEDADE EDUCACIONAL MARAU LTDA,21.998.727/0001-80,Privada com fins lucrativos,15351,Centro de Ensino Superior Riograndense Marau CESURG,-,Rua Júlio Borella - 3553 - CEP: 99150-000 - Centro,Marau,RS,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2017,Ativa
15927,SOCIEDADE EDUCACIONAL SARANDI LTDA,17.000.211/0001-27,Privada com fins lucrativos,18034,Centro de Ensino Superior Riograndese (CESURG),CESURG,Rodovia Governador Leonel de Moura Brizola - KM 38 - CEP: 99560-000 - Linha Beira Campo,Sarandi,RS,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
770,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,37.174.034/0001-02,Privada sem fins lucrativos,15508,Centro de Ensino Unificado do Piauí (CEUPI),CEUPI,Rua Durvalino Couto - 1220 - CEP: 64049-120 - Jockey Club,Teresina,PI,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2015,-,,3,2017,Ativa
16500,COMANDO DO EXERCITO,00.394.452/0270-52,Pessoa Jurídica de Direito Público - Federal,21414,Centro de Estudos de Pessoal e Forte Duque de Caxias (CEP),CEP,Praça Almirante Júlio de Noronha - SN - CEP: 22010-020 - Leme,Rio de Janeiro,RJ,Instituição Especialmente Credenciada para oferta de cursos lato sensu,,Publica,Pública Federal,-,,-,,-,,Ativa
1296,CENTRO EDUCACIONAL APRENDIZ LTDA - ME,03.517.381/0001-79,Privada com fins lucrativos,1977,CENTRO DE ESTUDOS SUPERIORES APRENDIZ (CESA),CESA,Avenida Bias Fortes - 02 - CEP: 36200-068 - Centro,Barbacena,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,-,,-,,2,2017,Ativa
13234,CAMARA DOS DEPUTADOS,00.530.352/0001-59,Pessoa Jurídica de Direito Público - Federal,17161,"Centro de Formação, Treinamento e Aperfeiçoamento (Cefor)",Cefor,"SGMN Via N3, Projeção L, Complexo Avançado da Câmara dos Deputados - - - CEP: 70160-900 - Plano Piloto",Brasília,DF,Escola de Governo,Escola do Governo,Publica,Pública Federal,4,2015,-,,-,,Ativa
16500,COMANDO DO EXERCITO,00.394.452/0270-52,Pessoa Jurídica de Direito Público - Federal,21416,Centro de Instrução de Aviação do Exército (CIAvEx),CIAvEx,Complexo de Aviação do Exército - CAVEX - 2.135 - CEP: 12086-90 - Granjas Rurais Reunidas São Judas Tadeu,Taubaté,SP,Instituição Especialmente Credenciada para oferta de cursos lato sensu,,Publica,Pública Federal,-,,-,,-,,Ativa
16500,COMANDO DO EXERCITO,00.394.452/0270-52,Pessoa Jurídica de Direito Público - Federal,21417,Centro de Instrução de Guerra Eletrônica (CIGE),CIGE,Academia Nacional de Polícia Federal - km 05 - CEP: 71559-90 - Setor Habitacional Taquari (Lago Norte),Brasília,DF,Instituição Especialmente Credenciada para oferta de cursos lato sensu,,Publica,Pública Federal,-,,-,,-,,Ativa
16981,"CEMEPE - CENTRO DE MEDICINA ESPECIALIZADA, PESQUISA E ENSINO LTDA.",07.111.764/0001-01,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,22685,"Centro de Medicina Especializada, Pesquisa e Ensino (CEMEPE)",CEMEPE,Rua Edgard Coelho - 100 - CEP: 30220-050 - Serra,Belo Horizonte,MG,Instituição Especialmente Credenciada para oferta de cursos lato sensu,EAD - Lato-sensu / Presencial - Superior,Privada,Privada com fins lucrativos,-,,-,,-,,Ativa
16655,CENTRO FED DE ED TECNOLOGICA CELSO SUCKOW DA FONSECA RJ,42.441.758/0001-05,Pessoa Jurídica de Direito Público - Federal,593,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA (CEFET/RJ),CEFET/RJ,Avenida Maracanã - 229 - CEP: 20271-110 - Maracanã,Rio de Janeiro,RJ,Centro Federal de Educação Tecnológica,EAD - Superior / Presencial - Superior,Publica,Pública Federal,3,2011,-,,4,2017,Ativa
16596,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,17.220.203/0001-96,Pessoa Jurídica de Direito Público - Federal,594,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS (CEFET/MG),CEFET/MG,Avenida Amazonas - 5253 - CEP: 30480-000 - Nova Suiça,Belo Horizonte,MG,Centro Federal de Educação Tecnológica,Presencial - Superior,Publica,Pública Federal,4,2011,-,,4,2017,Ativa
179,FUNDACAO PINHALENSE DE ENSINO,54.228.416/0001-90,Privada sem fins lucrativos,1230,CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL (UNIPINHAL),UNIPINHAL,Avenida Hélio Vergueiro Leite - s/n - CEP: 13990-000 - Jardim Universitário,Espírito Santo do Pinhal,SP,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2017,3,2019,3,2017,Ativa
76,FUNDACAO EDUCACIONAL DE MACHADO,17.907.031/0001-23,Privada sem fins lucrativos,3972,CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO (CESEP),CESEP,Av Dr Athayde Pereira de Souza - 730 - CEP: 37750-000 - Centro,Machado,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2018,-,,3,2017,Ativa
15603,ESCOLA DE EDUCACAO SUPERIOR SAO JOSE,67.973.602/0001-04,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Sociedade,17014,CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE (CSEJCDA),CSEJCDA,Rua Comendador Cantinho - 394 - CEP: 03603-020 - Penha de França,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2016,-,,SC,2012,Ativa
2095,SOCIEDADE CATALANA DE EDUCACAO S/C LTDA - EPP,05.373.130/0001-93,Privada com fins lucrativos,754,Centro Superior Una de Catalão (UNACAT),UNACAT,Avenida Presidente Médici - S/N - CEP: 75706-420 - Santa Cruz,Catalão,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2011,-,,3,2017,Ativa
558,UNIMEO-UNIAO EDUCACIONAL DO MEDIO OESTE PARANAENSE LTDA - EPP,78.669.868/0001-76,Privada com fins lucrativos,810,CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE (CTESOP),CTESOP,Avenida Brasil - 1441 - CEP: 85935-000 - Jardim Paraná,Assis Chateaubriand,PR,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,-,,3,2017,Ativa
418,CENTRO DE ESTUDOS SUPERIORES POSITIVO LTDA,78.791.712/0001-63,Privada com fins lucrativos,18064,CENTRO TECNOLÓGICO POSITIVO (CTPositivo),CTPositivo,Rua Senador Accioly Filho - 511 - CEP: 81310-000 - Cidade Industrial,Curitiba,PR,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2014,-,,-,,Ativa
1564,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,04.670.333/0001-89,Privada com fins lucrativos,1364,CENTRO UNIVERSIÁRIO UNIFTC,-,Rua Ubaldino Figuera - 200 - CEP: 45020-510 - Exposição,Vitória da Conquista,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,-,,4,2017,Ativa
1564,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,04.670.333/0001-89,Privada com fins lucrativos,1053,CENTRO UNIVERSIÁRIO UNIFTC DE FEIRA DE SANTANA,-,Avenida Artêmia Pires de Freitas - S/N - CEP: 44085-370 - SIM,Feira de Santana,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,5,2018,-,,4,2017,Ativa
1564,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,04.670.333/0001-89,Privada com fins lucrativos,1461,CENTRO UNIVERSIÁRIO UNIFTC SALVADOR,-,Avenida Luís Viana - 8812 - CEP: 41730-101 - Paralela,Salvador,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,5,2018,-,,3,2017,Ativa
144,INSTITUTO ADVENTISTA DE ENSINO,43.586.056/0001-82,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO (UNASP),UNASP,Estrada de Itapecerica - 5859 - CEP: 05858-001 - Jardim IAE,São Paulo,SP,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,5,2018,4,2016,3,2017,Ativa
1077,AGES EMPREENDIMENTOS EDUCACIONAIS LTDA,03.732.265/0001-72,Privada com fins lucrativos,1640,CENTRO UNIVERSITÁRIO AGES (UniAGES),UniAGES,Avenida Universitária - 23 - CEP: 48430-000 - Centro,Paripiranga,BA,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,4,2018,4,2017,Ativa
151,FUNDACAO ESCOLA DE COMERCIO ALVARES PENTEADO - FECAP,60.736.683/0001-71,Privada sem fins lucrativos,213,CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO (FECAP),FECAP,Avenida da Liberdade - 532 - CEP: 01502-001 - Liberdade,São Paulo,SP,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,5,2018,5,2016,4,2017,Ativa
979,CENTRO EDUCACIONAL ALVES FARIA LTDA.,02.850.990/0001-82,Privada com fins lucrativos,1493,CENTRO UNIVERSITÁRIO ALVES FARIA (UNIALFA),UNIALFA,Avenida Perimetral Norte - 4.129 - CEP: 74445-190 - Vila João Vaz,Goiânia,GO,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,3,2017,Ativa
715,"UNISEPE UNIAO DAS INSTITUICOES DE SERVICO, ENSINO E PESQUISA LTDA",67.172.676/0001-33,Privada com fins lucrativos,1225,CENTRO UNIVERSITÁRIO AMPARENSE (UNIFIA),UNIFIA,"Rodovia Sp 95, Km 46,5 - s/n - CEP: 13900-000 - Martírio",Amparo,SP,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,4,2019,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1045,CENTRO UNIVERSITÁRIO ANHANGÜERA (UNIFIAN),UNIFIAN,Rua Waldemar Silenci - 340 - CEP: 13614-370 - Cidade Jardim,Leme,SP,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,5,2018,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,926,CENTRO UNIVERSITÁRIO ANHANGUERA DE CAMPO GRANDE,-,BR 163 - 3203 - CEP: 79079-005 - Chácara das Mansões,Campo Grande,MS,Centro Universitário,EAD - Lato-sensu / Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,5,2018,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,515,CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI (UNIAN-RJ),UNIAN-RJ,Rua Visconde do Rio Branco - 123 - CEP: 24020-000 - Centro,Niterói,RJ,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,5,2019,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,242,CENTRO UNIVERSITÁRIO ANHANGUERA DE SANTO ANDRÉ (UNIA),UNIA,Rua Senador Flaquer - 456/459 - CEP: 09010-160 - Centro,Santo André,SP,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,4,2013,5,2019,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,376,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,-,Rua Afonso Celso - 235 - CEP: 04119-901 - Vila Mariana,São Paulo,SP,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,-,,3,2017,Ativa
957,ASSOCIACAO EDUCACIONAL TOLEDO,03.318.018/0001-24,Privada sem fins lucrativos,1841,CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE (TOLEDO PRUDENTE),TOLEDO PRUDENTE,Praça Raul Furquim - 09 - CEP: 19030-430 - Vila Furquim,Presidente Prudente,SP,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,5,2012,5,2018,4,2017,Ativa
757,"SOCIEDADE DE PESQUISA EDUCACAO E CULTURA, DR. APARICIO CARVALHO DE MORAES LTDA",01.129.686/0001-88,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1087,CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO,-,Rua das Araras - 241 - CEP: 76811-678 - Eldorado,Porto Velho,RO,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,5,2019,-,,3,2017,Ativa
2477,SOCIEDADE EDUCACIONAL ARNALDO HORACIO FERREIRA S/C LTDA,06.163.776/0001-09,Privada com fins lucrativos,3921,CENTRO UNIVERSITÁRIO ARNALDO HORÁCIO FERREIRA,-,Rua Pará - 2.280 - CEP: 47850-000 - Mimoso do Oeste,Luís Eduardo Magalhães,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,5,2018,3,2017,Ativa
893,FUNDACAO ASSIS GURGACZ,02.203.539/0001-73,Privada sem fins lucrativos,1336,CENTRO UNIVERSITÁRIO ASSIS GURGACZ (FAG),FAG,Avenida das Torres - 500 - CEP: 85806-095 - Loteamento FAG,Cascavel,PR,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,4,2014,-,,3,2017,Ativa
378,FUNDACAO SAO PAULO,60.990.751/0001-24,Privada sem fins lucrativos,161,CENTRO UNIVERSITÁRIO ASSUNÇÃO (UNIFAI),UNIFAI,Rua Afonso Celso - 671/711 - CEP: 04119-060 - Vila Mariana,São Paulo,SP,Centro Universitário,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2009,-,,3,2017,Ativa
1675,CENTRO EDUCACIONAL HYARTE-ML LTDA,01.428.030/0001-66,Privada com fins lucrativos,2579,CENTRO UNIVERSITÁRIO ATENAS (UniAtenas),UniAtenas,Rua Euridamas Avelino de Barros - 60 - CEP: 38602-002 - Prado,Paracatu,MG,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,5,2016,4,2017,Ativa
1629,SOCIEDADE EDUCACIONAL EDICE PORTELA LTDA,41.548.546/0001-69,Privada com fins lucrativos,2497,CENTRO UNIVERSITÁRIO ATENEU,-,Avenida Coletor Antônio Gadelha - 621 - CEP: 60871-170 - Messejana,Fortaleza,CE,Centro Universitário,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,-,,4,2017,Ativa
